planner_name iteration planning_time_elapsed cost_solution_total cost_solution_revolute cost_solution_prismatic theoretical_cost_total theoretical_cost_revolute theoretical_cost_prismatic
bi_informed_rrt_star 109 26.853 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 110 27.0327 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 111 27.0707 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 112 27.141 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 113 27.5807 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 114 27.8286 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 115 27.9407 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 116 28.0134 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 117 28.151 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 118 28.2653 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 119 28.6917 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 120 29.0537 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 121 29.2911 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 122 29.3428 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 123 29.4823 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 124 29.8655 10000 10000 10000 17.4569 0.88319 17.4346
bi_informed_rrt_star 125 30.3011 10000 10000 10000 17.4569 0.88319 17.4346
